,id,alias,name,is_closed,review_cou,rating,price,categories,latitude,longitude,address,city,zipcode,state,country,index_right,NTACode,NTAName,0-25k,25-50k,50-75k,75-100k,100-125k,125-150k,> 150k,MeanLifeExp
8629,JRiHG5F7Dc3Ce1YKBet3wA,abajo-new-york,Abajo,0,7,3.5,MISSING,"bars,mexican",40.719177200000004,-74.0043869,301 Church St,New York,10013,NY,US,13,MN24,SoHo-TriBeCa-Civic Center-Little Italy,0.15,0.09,0.09,0.09,0.08,0.05,0.45,82.66666666666667
8633,RTbltj7zrc3mL2CIQvNUpg,grandaisy-bakery-new-york-4,Grandaisy Bakery,0,108,4.0,$,"bakeries,cafes,desserts",40.72002037,-74.00586777,250 W Broadway,New York,10013,NY,US,13,MN24,SoHo-TriBeCa-Civic Center-Little Italy,0.15,0.09,0.09,0.09,0.08,0.05,0.45,82.66666666666667
8635,vSPKmk499CglpfJFuFvbvg,food-station-new-york,Food Station,0,32,3.5,$$,chinese,40.71802,-74.00038,244 Canal St,New York,10013,NY,US,13,MN24,SoHo-TriBeCa-Civic Center-Little Italy,0.15,0.09,0.09,0.09,0.08,0.05,0.45,82.66666666666667
8639,c8c80FVXGUE7aPGurux3xw,chipotle-mexican-grill-new-york-80,Chipotle Mexican Grill,0,24,3.0,$,"hotdogs,mexican",40.718788,-74.0021316,404 Broadway,New York,10013,NY,US,13,MN24,SoHo-TriBeCa-Civic Center-Little Italy,0.15,0.09,0.09,0.09,0.08,0.05,0.45,82.66666666666667
8641,HsqaGB90PYkI0En3rrtupQ,kaede-japanese-restaurant-new-york-2,Kaede Japanese Restaurant,0,185,3.5,$$,japanese,40.714458,-74.007439,90 Chambers St,New York,10007,NY,US,13,MN24,SoHo-TriBeCa-Civic Center-Little Italy,0.15,0.09,0.09,0.09,0.08,0.05,0.45,82.66666666666667
8643,1gdlwQhy836yEl3OjcaDwg,the-independent-restaurant-new-york,The Independent Restaurant,0,2,4.0,MISSING,restaurants,40.717903,-74.007064,179 W Broadway,New York,10013,NY,US,13,MN24,SoHo-TriBeCa-Civic Center-Little Italy,0.15,0.09,0.09,0.09,0.08,0.05,0.45,82.66666666666667
8644,poohyIxjSBu4p0WVRGaLrg,soho-eatery-new-york,SoHo Eatery,0,2,2.5,MISSING,"vietnamese,bubbletea,sandwiches",40.719167,-74.001174,273 Canal St,New York,10013,NY,US,13,MN24,SoHo-TriBeCa-Civic Center-Little Italy,0.15,0.09,0.09,0.09,0.08,0.05,0.45,82.66666666666667
8646,oinbMkOklSpTiMoS24jppQ,1-noodle-cart-new-york,$1 Noodle Cart,0,3,3.0,MISSING,"foodstands,noodles",40.717617,-74.000575,147 Ctr St,New York,10013,NY,US,13,MN24,SoHo-TriBeCa-Civic Center-Little Italy,0.15,0.09,0.09,0.09,0.08,0.05,0.45,82.66666666666667
8648,0pohq-vk8zKoi8ntSJnX4g,smile-to-go-new-york-2,Smile To Go,0,126,3.5,$$,"newamerican,bakeries,coffee",40.7195836,-74.0001862,22 Howard St,New York,10013,NY,US,13,MN24,SoHo-TriBeCa-Civic Center-Little Italy,0.15,0.09,0.09,0.09,0.08,0.05,0.45,82.66666666666667
8649,hAVrIoUHtbM16EigWMJvjA,mon-cher-market-new-york,Mon Cher Market,0,26,3.0,$,"buffets,delis,sandwiches",40.716682,-74.004707,339 Broadway,New York,10013,NY,US,13,MN24,SoHo-TriBeCa-Civic Center-Little Italy,0.15,0.09,0.09,0.09,0.08,0.05,0.45,82.66666666666667
8650,V5Z1MYfOceEBP2-lCrxj0A,atomic-wings-new-york-7,Atomic Wings,0,142,2.5,$,"tradamerican,chicken_wings",40.71564865,-74.00546265,311 Broadway,New York,10007,NY,US,13,MN24,SoHo-TriBeCa-Civic Center-Little Italy,0.15,0.09,0.09,0.09,0.08,0.05,0.45,82.66666666666667
8651,I0jLDC9bc7bti_I69r8kCg,the-oyster-bar-new-york,The Oyster Bar,0,4,2.5,MISSING,seafood,40.719359999999995,-74.00483,2 Avenue Of The Americas,New York,10013,NY,US,13,MN24,SoHo-TriBeCa-Civic Center-Little Italy,0.15,0.09,0.09,0.09,0.08,0.05,0.45,82.66666666666667
8652,Ue3d47wbw5fhT1FWf2MuLQ,first-class-cafe-new-york,First Class Cafe,0,4,5.0,MISSING,cafes,40.71345,-74.00527,52 Chambers St,New York,10007,NY,US,13,MN24,SoHo-TriBeCa-Civic Center-Little Italy,0.15,0.09,0.09,0.09,0.08,0.05,0.45,82.66666666666667
8653,2x8ZXCEIA2ZmXoW9L-KEjw,square-diner-new-york,Square Diner,0,168,3.0,$$,diners,40.71849,-74.00724,33 Leonard St,New York,10013,NY,US,13,MN24,SoHo-TriBeCa-Civic Center-Little Italy,0.15,0.09,0.09,0.09,0.08,0.05,0.45,82.66666666666667
