,GEOID,price_$,price_$$,price_$$$,price_$$$$,MISSING,Geography,Households,pct_0-25k,pct_25k-50k,pct_50k-75k,pct_75k-100k,pct_100k-125k,pct_125k-150k,pct_> 150k,num_0-25k,num_25k-50k,num_50k-75k,num_75k-100k,num_100k-125k,num_125k-150k,num_> 150k
24,36047004600,1,0,0,0,0,"Census Tract 46, Kings County, New York",522,0.1,0.163,0.067,0.153,0.075,0.044000000000000004,0.39799999999999996,52.2,85.086,34.974000000000004,79.866,39.15,22.968000000000004,207.75599999999997
25,36047004700,1,2,0,0,0,"Census Tract 47, Kings County, New York",797,0.08800000000000001,0.08900000000000001,0.14400000000000002,0.147,0.08199999999999999,0.085,0.365,70.13600000000001,70.933,114.76800000000001,117.15899999999999,65.35399999999998,67.745,290.905
26,36047004900,3,4,0,0,1,"Census Tract 49, Kings County, New York",986,0.095,0.046,0.122,0.051,0.183,0.075,0.429,93.67,45.356,120.292,50.285999999999994,180.438,73.95,422.99399999999997
27,36047005100,5,8,0,0,2,"Census Tract 51, Kings County, New York",1101,0.069,0.113,0.07200000000000001,0.251,0.091,0.054000000000000006,0.35100000000000003,75.96900000000001,124.413,79.272,276.351,100.191,59.45400000000001,386.451
28,36047005300,10,6,0,0,4,"Census Tract 53, Kings County, New York",954,0.21899999999999997,0.105,0.109,0.11599999999999999,0.136,0.042,0.273,208.926,100.17,103.986,110.66399999999999,129.744,40.068000000000005,260.442
29,36047005400,5,4,2,0,0,"Census Tract 54, Kings County, New York",1558,0.237,0.159,0.168,0.08,0.063,0.064,0.23,369.246,247.722,261.744,124.64,98.154,99.712,358.34000000000003
30,36047005601,1,0,0,0,0,"Census Tract 56.01, Kings County, New York",1376,0.16699999999999998,0.183,0.14,0.191,0.098,0.055,0.166,229.79199999999997,251.808,192.64000000000001,262.81600000000003,134.848,75.68,228.41600000000003
31,36047005602,1,2,1,0,1,"Census Tract 56.02, Kings County, New York",846,0.196,0.163,0.17800000000000002,0.13,0.134,0.046,0.152,165.816,137.898,150.58800000000002,109.98,113.364,38.916,128.59199999999998
32,36047005800,9,14,0,0,2,"Census Tract 58, Kings County, New York",1410,0.281,0.22899999999999998,0.113,0.10400000000000001,0.12,0.057,0.096,396.21000000000004,322.89,159.33,146.64000000000001,169.2,80.37,135.36
33,36047005900,5,4,0,0,4,"Census Tract 59, Kings County, New York",606,0.177,0.153,0.21100000000000002,0.111,0.12,0.083,0.145,107.262,92.718,127.86600000000001,67.266,72.72,50.298,87.86999999999999
