ID,Geography,Households,0-25k,25k-50k,50k-75k,75k-100k,100k-125k,125k-150k,> 150k
36047011700,"Census Tract 117, Kings County, New York",1231,147,142,171,249,157,55,310
36047011800,"Census Tract 118, Kings County, New York",577,211,169,67,45,36,6,43
36047011900,"Census Tract 119, Kings County, New York",653,81,68,110,114,56,48,176
36047012000,"Census Tract 120, Kings County, New York",323,116,67,56,32,12,3,37
36047012100,"Census Tract 121, Kings County, New York",784,100,101,77,109,104,79,214
36047012200,"Census Tract 122, Kings County, New York",1610,504,485,276,217,52,38,38
36047012600,"Census Tract 126, Kings County, New York",895,236,227,128,116,63,24,101
36047012700,"Census Tract 127, Kings County, New York",1621,522,257,231,91,119,55,346
36047012801,"Census Tract 128.01, Kings County, New York",732,241,178,138,72,29,36,38
36047012901,"Census Tract 129.01, Kings County, New York",1033,110,105,122,138,98,114,346
36047012902,"Census Tract 129.02, Kings County, New York",832,62,127,52,132,122,56,281
36047013000,"Census Tract 130, Kings County, New York",1763,356,374,270,267,109,120,267
36047013100,"Census Tract 131, Kings County, New York",1849,154,241,208,163,125,186,772
36047013200,"Census Tract 132, Kings County, New York",656,183,132,163,41,36,23,78
36047013300,"Census Tract 133, Kings County, New York",1841,195,63,118,170,168,140,987
36047013400,"Census Tract 134, Kings County, New York",1494,300,168,286,172,159,151,258
36047013500,"Census Tract 135, Kings County, New York",1507,140,124,129,158,152,100,704
36047013600,"Census Tract 136, Kings County, New York",1413,222,269,256,108,105,160,293
36047013700,"Census Tract 137, Kings County, New York",1459,292,97,133,132,252,83,470
36047013800,"Census Tract 138, Kings County, New York",1260,305,255,207,140,79,99,175
36047013900,"Census Tract 139, Kings County, New York",1389,154,127,131,139,165,173,500
36047014000,"Census Tract 140, Kings County, New York",767,123,144,125,81,110,48,136
36047014100,"Census Tract 141, Kings County, New York",1381,242,125,205,109,176,66,458
36047014200,"Census Tract 142, Kings County, New York",1301,277,320,236,131,102,46,189
36047014300,"Census Tract 143, Kings County, New York",1413,179,136,233,118,223,130,394
36047014500,"Census Tract 145, Kings County, New York",1717,253,326,309,232,297,79,221
36047014700,"Census Tract 147, Kings County, New York",869,146,84,153,98,127,65,196
36047014800,"Census Tract 148, Kings County, New York",478,106,102,51,69,13,26,111
36047014900,"Census Tract 149, Kings County, New York",2315,130,269,228,338,210,265,875
36047015000,"Census Tract 150, Kings County, New York",605,108,95,98,74,50,69,111
36047015100,"Census Tract 151, Kings County, New York",1674,140,178,158,147,235,116,700
36047015200,"Census Tract 152, Kings County, New York",868,136,179,95,98,142,54,164
36047015300,"Census Tract 153, Kings County, New York",1162,53,71,130,169,119,64,556
36047015400,"Census Tract 154, Kings County, New York",0,0,0,0,0,0,0,0
36047015500,"Census Tract 155, Kings County, New York",1505,131,78,207,114,107,148,720
36047015700,"Census Tract 157, Kings County, New York",1953,66,260,160,331,180,132,824
36047015900,"Census Tract 159, Kings County, New York",2500,259,228,198,331,173,267,1044
36047016000,"Census Tract 160, Kings County, New York",1620,302,335,316,197,171,101,198
36047016100,"Census Tract 161, Kings County, New York",1398,127,180,196,132,160,107,496
36047016200,"Census Tract 162, Kings County, New York",1041,153,207,158,131,85,159,148
36047016300,"Census Tract 163, Kings County, New York",1365,186,109,170,218,92,142,448
36047016400,"Census Tract 164, Kings County, New York",247,0,57,63,10,74,10,33
36047016500,"Census Tract 165, Kings County, New York",2454,199,188,256,160,272,74,1305
36047016600,"Census Tract 166, Kings County, New York",651,62,117,88,53,81,40,210
36047016700,"Census Tract 167, Kings County, New York",2132,79,172,99,287,250,197,1048
36047016800,"Census Tract 168, Kings County, New York",693,143,120,77,95,66,55,137
36047016900,"Census Tract 169, Kings County, New York",2177,488,167,316,253,316,196,441
