"","Yelp_Cluster1","Yelp_Cluster2","Yelp_Cluster3","Yelp_Cluster4","Yelp_Cluster5","Yelp_Cluster6","Yelp_Cluster7","NTA Cluster"
"1",0,0.3,0.25,0,0.1625,0.075,0.2125,2
"2",0.0099009900990099,0.267326732673267,0.267326732673267,0,0.138613861386139,0.099009900990099,0.217821782178218,2
"3",0,0.204545454545455,0.181818181818182,0,0.113636363636364,0.0909090909090909,0.409090909090909,3
"4",0.0555555555555556,0.25,0.0277777777777778,0,0.472222222222222,0,0.194444444444444,1
"5",0,0.333333333333333,0,0,0.25,0.166666666666667,0.25,2
"6",0,0.296296296296296,0.209876543209877,0,0.148148148148148,0.135802469135802,0.209876543209877,2
"7",0,0.1,0.05,0,0.45,0,0.4,1
"8",0,0.282051282051282,0.256410256410256,0,0.128205128205128,0.0256410256410256,0.307692307692308,2
"9",0,0.263565891472868,0.10077519379845,0,0.224806201550388,0.00775193798449612,0.403100775193798,3
"10",0.0136986301369863,0.219178082191781,0.150684931506849,0.0136986301369863,0.219178082191781,0.0273972602739726,0.356164383561644,3
"11",0,0.204081632653061,0.183673469387755,0,0.142857142857143,0.0408163265306122,0.428571428571429,3
"12",0.00900900900900901,0.247747747747748,0.306306306306306,0,0.135135135135135,0.045045045045045,0.256756756756757,2
"13",0,0.147058823529412,0.161764705882353,0,0.242647058823529,0,0.448529411764706,3
"14",0.048,0.168,0.392,0,0.096,0.032,0.264,2
"15",0.00609756097560976,0.201219512195122,0.140243902439024,0,0.189024390243902,0.0182926829268293,0.445121951219512,3
"16",0.0113636363636364,0.159090909090909,0.193181818181818,0,0.215909090909091,0.0113636363636364,0.409090909090909,3
"17",0.0385964912280702,0.252631578947368,0.315789473684211,0,0.087719298245614,0.0491228070175439,0.256140350877193,2
"18",0.0428571428571429,0.266666666666667,0.3,0.00476190476190476,0.195238095238095,0.0333333333333333,0.157142857142857,2
"19",0,0.2,0.375,0,0.275,0,0.15,2
"20",0,0.12,0.22,0,0.36,0.02,0.28,3
"21",0.0141843971631206,0.177304964539007,0.191489361702128,0,0.304964539007092,0.0141843971631206,0.297872340425532,3
"22",0,0.361702127659574,0.212765957446809,0.0212765957446809,0.127659574468085,0.0638297872340425,0.212765957446809,2
"23",0,0.25531914893617,0.106382978723404,0,0.212765957446809,0.0425531914893617,0.382978723404255,3
"24",0,0.326530612244898,0.0612244897959184,0,0.244897959183673,0.0816326530612245,0.285714285714286,2
"25",0,0.2,0.2,0,0.1,0.1,0.4,3
"26",0,0.160714285714286,0.0535714285714286,0,0.589285714285714,0,0.196428571428571,1
"27",0,0.254545454545455,0.218181818181818,0,0.254545454545455,0.0545454545454545,0.218181818181818,2
"28",0.0105263157894737,0.147368421052632,0.263157894736842,0,0.252631578947368,0.0105263157894737,0.315789473684211,3
