"","Yelp_Cluster1","Yelp_Cluster2","Yelp_Cluster3","Yelp_Cluster4","Yelp_Cluster5","Yelp_Cluster6","Yelp_Cluster7","NTA Cluster"
"1",0.2125,0.125,0.0625,0.275,0,0.075,0.25,1
"2",0.217821782178218,0.0693069306930693,0.099009900990099,0.237623762376238,0,0.099009900990099,0.277227722772277,1
"3",0.409090909090909,0.0681818181818182,0.0909090909090909,0.159090909090909,0,0.0909090909090909,0.181818181818182,3
"4",0.222222222222222,0.25,0.222222222222222,0.25,0,0,0.0555555555555556,2
"5",0.25,0,0.416666666666667,0.166666666666667,0,0.166666666666667,0,2
"6",0.209876543209877,0.0864197530864197,0.0987654320987654,0.259259259259259,0,0.135802469135802,0.209876543209877,1
"7",0.4,0.35,0.1,0.1,0,0,0.05,2
"8",0.307692307692308,0.0769230769230769,0.0769230769230769,0.256410256410256,0,0.0256410256410256,0.256410256410256,1
"9",0.403100775193798,0.186046511627907,0.0542635658914729,0.248062015503876,0,0.00775193798449612,0.10077519379845,3
"10",0.356164383561644,0.164383561643836,0.0821917808219178,0.205479452054795,0.0136986301369863,0.0273972602739726,0.150684931506849,3
"11",0.428571428571429,0.0408163265306122,0.102040816326531,0.204081632653061,0,0.0408163265306122,0.183673469387755,3
"12",0.256756756756757,0.0765765765765766,0.0675675675675676,0.238738738738739,0,0.045045045045045,0.315315315315315,1
"13",0.448529411764706,0.183823529411765,0.0661764705882353,0.139705882352941,0,0,0.161764705882353,3
"14",0.264,0.088,0.008,0.176,0.024,0.032,0.408,1
"15",0.445121951219512,0.134146341463415,0.103658536585366,0.152439024390244,0,0.0182926829268293,0.146341463414634,3
"16",0.409090909090909,0.170454545454545,0.0681818181818182,0.136363636363636,0,0.0113636363636364,0.204545454545455,3
"17",0.256140350877193,0.0736842105263158,0.0280701754385965,0.242105263157895,0.0105263157894737,0.0526315789473684,0.336842105263158,1
"18",0.157142857142857,0.119047619047619,0.114285714285714,0.238095238095238,0.0285714285714286,0.0333333333333333,0.30952380952381,1
"19",0.15,0.225,0.075,0.175,0,0,0.375,1
"20",0.28,0.22,0.14,0.12,0,0.02,0.22,3
"21",0.297872340425532,0.198581560283688,0.163120567375887,0.120567375886525,0,0.0141843971631206,0.205673758865248,3
"22",0.212765957446809,0.0638297872340425,0.0851063829787234,0.340425531914894,0.0212765957446809,0.0638297872340425,0.212765957446809,1
"23",0.382978723404255,0.148936170212766,0.0638297872340425,0.25531914893617,0,0.0425531914893617,0.106382978723404,3
"24",0.285714285714286,0.122448979591837,0.183673469387755,0.26530612244898,0,0.0816326530612245,0.0612244897959184,2
"25",0.4,0.1,0.2,0,0,0.1,0.2,3
"26",0.196428571428571,0.267857142857143,0.392857142857143,0.0892857142857143,0,0,0.0535714285714286,2
"27",0.218181818181818,0.109090909090909,0.254545454545455,0.145454545454545,0,0.0545454545454545,0.218181818181818,3
"28",0.315789473684211,0.157894736842105,0.105263157894737,0.136842105263158,0,0.0105263157894737,0.273684210526316,3
