,NTACode,NTAName,Households,pct_0_25k,pct_25k_50k,pct_50k_75k,pct_75k_100k,pct_100k_125k,pct_125k_150k,pct_> 150k,MeanLifeExp,price_1,price_2,price_3,price_4,MISSING
0,BK88,Borough Park,26710,0.33103706476974915,0.2678023212280045,0.13216023961063272,0.08929239985024336,0.06360913515537253,0.03654062149007862,0.07955821789591913,82.60000000000002,0.3300970873786408,0.23300970873786409,0.06796116504854369,0.009708737864077669,0.3592233009708738
1,BK25,Homecrest,15528,0.2576635754765585,0.21780010303967026,0.1539155074703761,0.10394126738794436,0.10729005667181864,0.04237506439979392,0.11701442555383824,81.71875000000001,0.2761904761904762,0.3904761904761905,0.09523809523809523,0.009523809523809525,0.22857142857142856
2,BK44,Madison,14900,0.21476510067114093,0.1908053691275168,0.1665771812080537,0.11865771812080535,0.1002013422818792,0.05671140939597315,0.15228187919463088,82.76,0.4745762711864407,0.288135593220339,0.03389830508474576,0.0,0.2033898305084746
3,BK41,Kensington-Ocean Parkway,12228,0.24378475629702326,0.21949623814196925,0.15611710827608766,0.13141969250899574,0.0964180569185476,0.05356558717697089,0.09919856068040564,80.875,0.49230769230769234,0.24615384615384617,0.03076923076923077,0.0,0.23076923076923078
4,BK95,Erasmus,10137,0.2716780112459308,0.26921179836243464,0.1631646443721022,0.12459307487422315,0.06116207951070336,0.052086416099437705,0.0581039755351682,81.39999999999998,0.4507042253521127,0.1267605633802817,0.0,0.0,0.4225352112676056
5,BK69,Clinton Hill,16212,0.1815321983715766,0.15833950160375032,0.15482358746607452,0.1426720947446336,0.10140636565507033,0.06692573402417963,0.19430051813471505,80.22,0.28205128205128205,0.4700854700854701,0.03418803418803419,0.0,0.21367521367521367
6,BK43,Midwood,18840,0.2960191082802548,0.20695329087048836,0.15143312101910827,0.09357749469214437,0.07627388535031847,0.04347133757961783,0.13227176220806794,82.52222222222224,0.2318840579710145,0.391304347826087,0.057971014492753624,0.0,0.3188405797101449
7,BK26,Gravesend,11445,0.34521625163827,0.2256006989951944,0.12861511577107906,0.10083005679335956,0.05906509392747925,0.05216251638269987,0.08851026649191787,81.5875,0.53125,0.09375,0.0,0.0,0.375
8,BK29,Bensonhurst East,22373,0.2743932418540205,0.2248245653242748,0.16779153443883252,0.10490323157377196,0.08027533187324007,0.0458588477182318,0.1019532472176284,83.35294117647058,0.40384615384615385,0.27884615384615385,0.009615384615384616,0.009615384615384616,0.2980769230769231
9,BK72,Williamsburg,8339,0.4739177359395611,0.24343446456409645,0.12267657992565055,0.06727425350761483,0.03153855378342727,0.01451013310948555,0.046648279170164286,78.08333333333333,0.5833333333333334,0.25,0.0,0.0,0.16666666666666666
